Seed,Clubs,Hearts,Spades,Diamonds,Ace,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Jack,Queen,King,SuitEuclid,SuitEucIgnZero,SuitMedian,SuitMedIgnZero,SuitRange,SuitRngIgnZero,SuitStdDev,SuitSDIgnZero,SuitsPres
14,3,5,4,4,1,1,1,2,2,0,0,1,2,0,2,3,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
15,2,6,4,4,0,2,1,1,1,2,1,1,1,1,1,3,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
16,4,3,4,5,3,1,0,0,3,1,0,1,1,3,0,2,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
17,2,5,6,3,1,1,1,1,2,2,1,2,1,0,2,1,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
18,2,3,5,6,0,1,0,1,1,1,1,4,1,1,2,2,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
19,4,5,4,3,1,2,1,1,2,1,0,2,2,1,1,1,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
20,4,5,5,2,0,1,1,1,3,3,1,1,1,1,0,0,3,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
21,4,2,6,4,2,1,0,0,2,0,3,2,1,1,0,2,2,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
22,1,5,4,6,1,1,0,2,1,1,1,2,2,2,0,2,1,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
23,3,3,3,7,2,2,2,1,3,1,1,2,0,0,1,1,0,3.4641016151377544,3.4641016151377544,3.0,3.0,4,4,1.7320508075688772,1.7320508075688772,4
24,4,4,5,3,1,3,0,1,3,1,2,0,1,0,1,2,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
25,4,6,4,2,0,3,1,3,1,0,2,0,2,0,1,1,2,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
26,4,3,4,5,1,1,1,1,3,1,0,2,2,1,0,2,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
27,7,4,3,2,2,3,1,1,1,2,2,2,1,0,0,0,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
28,2,4,6,4,0,1,0,1,2,1,3,2,2,0,2,1,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
29,2,5,3,6,1,0,3,2,1,1,0,2,1,1,2,1,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
30,4,4,4,4,1,2,2,1,0,1,1,3,2,0,2,0,1,0.0,0.0,4.0,4.0,0,0,0.0,0.0,4
31,4,1,7,4,0,1,3,3,0,1,0,2,3,1,0,1,1,4.242640687119285,4.242640687119285,4.0,4.0,6,6,2.1213203435596424,2.1213203435596424,4
32,6,3,4,3,1,0,2,2,2,0,1,2,2,2,1,0,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
33,6,7,2,1,1,2,0,1,1,0,2,2,2,1,2,1,1,5.0990195135927845,5.0990195135927845,4.0,4.0,6,6,2.5495097567963922,2.5495097567963922,4
34,5,4,2,5,1,1,0,4,2,0,1,1,0,1,1,3,1,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
35,4,6,1,5,1,2,2,1,3,1,0,0,0,1,3,1,1,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
36,6,5,4,1,3,1,0,0,1,0,2,2,0,3,2,1,1,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
37,3,4,6,3,3,2,0,2,0,1,1,0,1,0,0,2,4,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
38,5,5,5,1,2,1,2,3,0,2,0,1,0,1,1,2,1,3.4641016151377544,3.4641016151377544,5.0,5.0,4,4,1.7320508075688772,1.7320508075688772,4
39,2,3,5,6,2,1,2,1,2,0,1,2,0,0,2,2,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
40,3,5,2,6,1,1,1,2,0,1,1,1,0,1,2,3,2,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
41,4,2,4,6,1,2,1,1,2,2,0,3,1,1,1,0,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
42,2,4,7,3,2,1,0,2,2,1,2,1,0,1,1,1,2,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
43,3,3,6,4,1,1,2,1,1,1,3,1,0,1,1,1,2,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
44,3,7,1,5,0,2,2,1,1,1,3,1,1,0,1,2,1,4.47213595499958,4.47213595499958,4.0,4.0,6,6,2.23606797749979,2.23606797749979,4
45,4,4,4,4,1,1,2,0,1,1,2,2,1,1,1,3,0,0.0,0.0,4.0,4.0,0,0,0.0,0.0,4
46,4,5,4,3,1,0,1,1,1,1,1,1,2,2,2,1,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
47,3,4,5,4,1,1,1,1,1,1,1,1,1,2,2,1,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
48,5,4,4,3,2,1,2,2,1,1,0,1,2,1,0,1,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
49,2,4,3,7,3,1,2,1,1,0,0,2,1,0,3,2,0,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
50,5,5,2,4,0,1,2,1,1,2,0,1,2,1,1,2,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
51,3,3,6,4,2,1,0,0,1,2,1,1,2,1,1,1,3,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
52,6,2,4,4,1,1,1,2,2,2,2,0,0,0,1,3,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
53,5,2,5,4,1,0,1,2,1,3,0,1,1,3,1,1,1,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
54,5,5,3,3,2,2,0,1,3,1,0,0,1,2,1,2,1,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
55,6,3,3,4,1,1,2,0,2,0,2,1,0,2,0,3,2,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
56,3,4,6,3,1,0,2,3,1,2,2,0,0,1,0,2,2,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
57,3,6,3,4,1,1,0,1,2,1,2,1,1,2,2,2,0,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
58,5,5,4,2,0,1,0,2,2,2,2,2,1,1,0,1,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
59,4,3,4,5,1,1,3,0,1,1,1,2,2,1,0,1,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
60,4,4,4,4,1,0,2,1,0,1,2,2,3,2,1,1,0,0.0,0.0,4.0,4.0,0,0,0.0,0.0,4
61,3,4,4,5,2,3,2,0,0,0,0,3,1,2,0,1,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
62,4,3,2,7,0,2,2,1,1,0,1,2,1,2,2,1,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
63,2,5,6,3,2,2,0,1,1,3,0,2,2,1,0,1,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
64,3,2,7,4,0,4,0,2,0,1,1,0,0,2,2,3,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
65,3,5,4,4,1,0,2,0,0,0,2,1,2,2,2,3,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
66,5,3,3,5,2,1,0,2,1,2,1,1,1,3,1,1,0,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
67,2,4,6,4,0,3,1,1,1,2,1,2,0,1,2,1,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
68,7,5,2,2,2,1,2,0,2,0,1,1,1,2,1,0,3,4.242640687119285,4.242640687119285,3.5,3.5,5,5,2.1213203435596424,2.1213203435596424,4
69,5,2,4,5,3,2,2,0,1,2,1,0,2,1,0,0,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
70,4,5,3,4,3,2,1,0,1,2,1,0,0,2,1,2,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
71,4,5,4,3,2,1,1,0,2,2,1,0,2,1,1,1,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
72,4,4,5,3,2,2,1,1,0,0,1,1,2,2,3,0,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
73,6,3,3,4,1,3,2,0,1,2,0,0,2,2,1,1,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
74,6,3,4,3,0,2,1,0,3,1,0,1,1,3,2,2,0,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
75,3,3,5,5,1,0,1,1,2,1,2,1,2,2,2,1,0,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
76,2,4,3,7,2,0,1,1,0,1,1,1,1,2,3,2,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
77,5,5,3,3,0,1,1,1,2,2,0,4,0,1,0,2,2,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
78,2,6,6,2,1,1,1,1,2,0,1,1,3,2,0,2,1,4.0,4.0,4.0,4.0,4,4,2.0,2.0,4
79,6,3,3,4,1,1,1,3,0,0,1,2,2,1,3,0,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
80,3,2,5,6,1,1,1,2,2,2,0,3,1,2,1,0,0,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
81,4,3,4,5,2,1,0,1,2,1,2,1,1,1,3,1,0,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
82,6,3,2,5,0,1,1,1,3,1,1,0,1,0,2,2,3,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
83,5,4,2,5,1,2,1,0,2,2,1,1,0,1,0,2,3,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
84,4,2,6,4,2,1,0,1,1,1,1,1,1,0,2,3,2,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
85,3,4,5,4,1,2,2,2,2,1,1,2,1,0,1,0,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
86,5,3,5,3,2,2,2,0,2,1,1,1,1,2,2,0,0,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
87,2,4,4,6,1,2,1,1,2,1,1,2,2,0,1,0,2,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
88,3,3,6,4,0,0,1,3,1,3,3,1,1,1,1,1,0,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
89,4,5,1,6,1,1,3,0,1,1,1,2,1,1,1,2,1,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
90,3,5,5,3,2,1,1,1,1,3,1,2,0,0,1,1,2,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
91,4,5,3,4,2,2,1,2,0,1,2,2,1,0,1,1,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
92,5,4,2,5,0,1,2,1,1,1,2,3,0,1,1,3,0,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
93,3,3,5,5,1,1,1,3,0,0,0,2,0,2,2,2,2,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
94,5,3,3,5,2,1,0,3,3,1,2,0,2,0,1,0,1,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
95,5,3,4,4,2,1,0,0,2,0,3,1,3,1,1,1,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
96,4,3,3,6,2,0,0,2,0,2,0,1,1,3,2,2,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
97,7,2,3,4,2,2,1,1,2,0,2,0,0,2,2,1,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
98,4,4,3,5,1,2,0,0,2,1,2,1,1,1,2,3,0,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
99,3,6,5,2,1,0,1,2,1,0,1,1,0,2,1,3,3,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
100,3,4,3,6,2,0,0,2,1,1,1,0,1,2,3,2,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
101,6,2,4,4,2,1,0,1,1,0,3,2,1,2,1,1,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
102,5,1,6,4,1,2,1,2,2,1,1,1,0,1,1,2,1,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
103,5,7,3,1,1,1,2,1,0,0,2,2,2,2,2,0,1,4.47213595499958,4.47213595499958,4.0,4.0,6,6,2.23606797749979,2.23606797749979,4
104,3,5,4,4,2,2,1,2,2,0,1,1,1,1,1,0,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
105,6,3,3,4,2,4,1,0,2,1,1,1,1,0,1,1,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
106,5,2,5,4,1,2,1,1,1,1,2,2,0,1,1,1,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
107,2,4,5,5,0,3,2,0,1,0,3,2,1,0,2,2,0,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
108,3,5,3,5,0,1,3,1,0,0,1,3,1,1,3,1,1,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
109,4,2,6,4,1,0,3,1,1,2,2,2,0,0,1,1,2,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
110,0,7,4,5,1,1,2,1,2,2,1,1,2,0,1,2,0,5.0990195135927845,2.1602468994692865,4.5,5.0,7,3,2.5495097567963922,1.247219128924647,3
111,4,3,1,8,1,1,2,1,1,1,0,3,1,3,0,0,2,5.0990195135927845,5.0990195135927845,3.5,3.5,7,7,2.5495097567963922,2.5495097567963922,4
112,5,4,4,3,0,1,0,3,3,2,3,0,1,1,1,0,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
113,4,7,3,2,0,0,1,1,2,1,2,1,1,2,2,2,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
114,4,5,4,3,2,1,0,1,1,2,3,1,1,2,0,1,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
115,5,2,4,5,1,2,0,2,3,1,2,1,1,0,1,0,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
116,6,4,3,3,3,0,0,0,2,1,1,1,1,2,0,2,3,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
117,6,3,3,4,2,2,0,1,2,2,0,1,1,1,1,2,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
118,3,7,4,2,1,2,1,2,1,2,1,1,0,1,1,1,2,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
119,5,5,2,4,1,2,3,1,2,2,0,1,0,1,0,1,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
120,3,2,7,4,2,1,0,2,0,2,1,3,0,1,2,1,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
121,4,6,2,4,2,2,0,1,2,1,2,2,0,2,1,1,0,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
122,4,0,5,7,2,2,2,1,1,1,2,1,0,2,2,0,0,5.0990195135927845,2.1602468994692865,4.5,5.0,7,3,2.5495097567963922,1.247219128924647,3
123,8,3,1,4,2,0,2,1,1,2,2,3,0,1,1,0,1,5.0990195135927845,5.0990195135927845,3.5,3.5,7,7,2.5495097567963922,2.5495097567963922,4
124,2,3,7,4,2,1,1,2,2,2,1,1,1,2,0,0,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
125,1,5,6,4,0,2,0,1,3,0,2,1,2,0,3,0,2,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
126,3,5,3,5,2,3,1,0,1,1,1,2,3,1,0,0,1,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
127,5,4,2,5,0,1,0,1,2,2,2,2,2,1,0,2,1,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
128,3,5,4,4,0,0,1,0,3,1,1,1,2,1,3,2,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
129,4,3,7,2,2,2,2,0,0,1,0,1,1,2,2,2,1,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
130,3,5,5,3,2,0,2,1,1,2,0,1,1,2,1,2,1,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
131,5,6,3,2,1,1,1,1,2,1,0,2,2,2,1,0,2,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
132,4,3,4,5,3,1,2,1,0,2,1,1,1,1,2,0,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
133,4,3,5,4,1,2,2,0,0,2,1,2,2,1,1,1,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
134,5,5,4,2,1,2,2,1,2,1,1,1,1,1,2,1,0,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
135,4,5,6,1,2,1,3,0,1,0,1,2,2,2,2,0,0,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
136,3,5,3,5,1,0,2,1,3,1,2,0,2,2,0,1,1,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
137,5,5,2,4,2,1,0,4,2,0,1,2,1,0,0,1,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
138,2,5,5,4,1,0,2,1,1,2,2,2,1,0,1,2,1,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
139,5,5,1,5,2,2,2,1,1,3,2,0,0,1,1,1,0,3.4641016151377544,3.4641016151377544,5.0,5.0,4,4,1.7320508075688772,1.7320508075688772,4
140,5,4,4,3,2,3,0,1,2,3,1,0,2,1,0,1,0,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
141,6,4,5,1,1,2,1,0,0,2,1,2,1,1,1,1,3,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
142,6,4,3,3,0,1,2,2,2,3,0,2,1,0,2,1,0,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
143,6,2,4,4,2,1,4,1,1,0,0,0,3,1,1,1,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
144,3,4,6,3,2,3,1,3,1,1,1,1,1,0,2,0,0,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
145,4,4,5,3,1,3,1,2,0,1,2,1,0,2,0,1,2,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
146,2,6,5,3,1,0,0,2,1,1,0,2,1,2,1,3,2,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
147,2,4,4,6,1,1,2,2,3,1,0,2,0,1,1,1,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
148,6,2,3,5,1,2,1,2,3,1,1,1,0,0,2,1,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
149,2,4,5,5,0,3,2,1,1,0,0,2,1,1,2,1,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
150,4,2,4,6,0,1,2,2,1,2,1,1,1,1,1,1,2,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
151,4,6,3,3,2,2,2,0,2,2,1,0,2,0,1,0,2,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
152,4,3,7,2,1,0,1,2,2,1,1,1,2,1,2,0,2,3.7416573867739413,3.7416573867739413,3.5,3.5,5,5,1.8708286933869707,1.8708286933869707,4
153,4,4,5,3,1,2,3,2,1,2,0,1,1,1,0,2,0,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
154,4,2,4,6,1,1,2,1,1,1,2,0,1,0,3,2,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
155,5,4,4,3,0,1,1,1,2,0,2,2,1,2,2,1,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
156,6,2,7,1,0,1,1,0,1,1,2,2,1,3,3,1,0,5.0990195135927845,5.0990195135927845,4.0,4.0,6,6,2.5495097567963922,2.5495097567963922,4
157,4,7,4,1,2,0,0,2,2,1,2,3,1,0,2,0,1,4.242640687119285,4.242640687119285,4.0,4.0,6,6,2.1213203435596424,2.1213203435596424,4
158,4,6,2,4,0,1,1,3,0,1,0,1,2,1,3,2,1,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
159,3,3,3,7,2,0,2,0,1,0,2,1,1,1,2,2,2,3.4641016151377544,3.4641016151377544,3.0,3.0,4,4,1.7320508075688772,1.7320508075688772,4
160,3,5,2,6,3,2,0,0,2,1,1,0,1,3,2,1,0,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
161,6,2,3,5,1,1,2,0,0,2,2,1,2,2,0,2,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
162,5,3,6,2,2,0,1,2,2,1,1,0,2,0,1,3,1,3.1622776601683795,3.1622776601683795,4.0,4.0,4,4,1.5811388300841898,1.5811388300841898,4
163,4,5,5,2,1,2,1,0,1,2,1,2,2,1,0,1,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
164,3,4,3,6,3,2,1,1,1,0,0,2,0,2,1,2,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
